collection_day,retailer_id,retailer_name,run_id,category,count
2026-07-10,extra-mercado,Extra Mercado,8eeb3f25-48a2-4368-b7ac-768509221ba1,unknown,30
2026-07-10,pao-de-acucar,Pão de Açúcar,4e9c423d-c4c2-4b4e-8dc0-2727fc49e8e0,unknown,30
2026-07-11,carrefour,Carrefour Mercado,25626653-9d23-4c81-a1d1-ec283453bbab,invalid-price,2
2026-07-11,carrefour,Carrefour Mercado,7bfe8dd6-5075-4bab-94cd-66dda55a5306,invalid-price,188
2026-07-11,carrefour,Carrefour Mercado,96a17a75-bdb1-4095-b60f-4af7c669ada6,invalid-price,2
2026-07-11,extra-mercado,Extra Mercado,a9694ba2-afce-44a0-b9b4-688c07d873a4,invalid-price,25
2026-07-11,extra-mercado,Extra Mercado,a9694ba2-afce-44a0-b9b4-688c07d873a4,missing-fields,1
2026-07-11,extra-mercado,Extra Mercado,b68cf072-658c-4822-bb22-b358b9c40701,invalid-price,2
2026-07-11,pao-de-acucar,Pão de Açúcar,d72d59fa-c6a8-48bd-ac7d-4949a9363036,invalid-price,10
2026-07-11,pao-de-acucar,Pão de Açúcar,d72d59fa-c6a8-48bd-ac7d-4949a9363036,missing-fields,1
2026-07-11,st-marche,St Marché,8626ca8d-85cc-4172-85ec-b92b64fbed0a,network,1
2026-07-12,carrefour,Carrefour Mercado,ebb360fc-45d4-4a86-a73a-1118c279d50f,http-429,1
2026-07-12,carrefour,Carrefour Mercado,ebb360fc-45d4-4a86-a73a-1118c279d50f,invalid-price,310
2026-07-12,extra-mercado,Extra Mercado,b57a24d5-6ad8-40ca-8e00-04fe111409f0,invalid-price,25
2026-07-12,extra-mercado,Extra Mercado,b57a24d5-6ad8-40ca-8e00-04fe111409f0,missing-fields,79
2026-07-12,pao-de-acucar,Pão de Açúcar,da9f507f-acd4-4e46-a98e-52360f3a6d99,invalid-price,1
2026-07-12,pao-de-acucar,Pão de Açúcar,da9f507f-acd4-4e46-a98e-52360f3a6d99,missing-fields,35
2026-07-12,st-marche,St Marché,f04560c2-5971-48d8-8fa9-5bae1bebb452,unknown,1
2026-07-13,carrefour,Carrefour Mercado,83fd97a9-2645-43ea-9516-add4e5a5a929,invalid-price,351
2026-07-13,extra-mercado,Extra Mercado,96f0cd6f-8327-4b41-819f-afcae14ff880,invalid-price,35
2026-07-13,extra-mercado,Extra Mercado,96f0cd6f-8327-4b41-819f-afcae14ff880,missing-fields,108
